Node 184, a:86, b:474, c:156
Node 185, a:1174, b:2186, c:156
Node 186, a:1174, b:474, c:3140
Node 187, a:246, b:10, c:156
Node 188, a:86, b:474, c:156
Node 189, a:86, b:10, c:36
Node 190, a:2790, b:474, c:964
Node 191, a:86, b:1626, c:964
Node 192, a:86, b:474, c:156
Node 193, a:86, b:10, c:36
Node 194, a:6, b:74, c:36
Node 195, a:6, b:10, c:-4
Node 196, a:454, b:234, c:36
Node 197, a:86, b:10, c:36
Node 198, a:86, b:234, c:604
Node 199, a:246, b:10, c:156
Node 200, a:86, b:474, c:156
Node 201, a:86, b:10, c:36
Node 202, a:6, b:74, c:36
Node 203, a:214, b:426, c:36
Node 204, a:214, b:74, c:540
Node 205, a:86, b:10, c:36
Node 206, a:6, b:74, c:36
Node 207, a:6, b:10, c:-4
Node 208, a:390, b:74, c:124
Node 209, a:6, b:186, c:124
Node 210, a:6, b:74, c:36
Node 211, a:214, b:426, c:36
Node 212, a:710, b:1066, c:36
Node 213, a:710, b:426, c:2236
Node 214, a:6, b:74, c:36
Node 215, a:214, b:426, c:36
Node 216, a:214, b:74, c:540
Node 217, a:3126, b:426, c:1244
Node 218, a:214, b:2490, c:1244
Node 219, a:214, b:426, c:36
Node 220, a:214, b:74, c:540
Node 221, a:1014, b:3034, c:540
Node 222, a:1014, b:74, c:1636
Node 223, a:3734, b:1434, c:540
Node 224, a:214, b:74, c:540
Node 225, a:214, b:1434, c:2756
Node 226, a:6, b:74, c:36
Node 227, a:214, b:426, c:36
Node 228, a:214, b:74, c:540
Node 229, a:86, b:10, c:36
Node 230, a:6, b:74, c:36
Node 231, a:6, b:10, c:-4
Node 232, a:454, b:234, c:36
Node 233, a:86, b:10, c:36
Node 234, a:86, b:234, c:604
Node 235, a:246, b:10, c:156
Node 236, a:86, b:474, c:156
Node 237, a:86, b:10, c:36
Node 238, a:6, b:74, c:36
Node 239, a:214, b:426, c:36
Node 240, a:214, b:74, c:540
Node 241, a:86, b:10, c:36
Node 242, a:6, b:74, c:36
Node 243, a:6, b:10, c:-4
Node 244, a:390, b:74, c:124
Node 245, a:6, b:186, c:124
Node 246, a:6, b:74, c:36
Node 247, a:6, b:10, c:-4
Node 248, a:6, b:-6, c:-4
Node 249, a:6, b:10, c:36
Node 250, a:-26, b:-6, c:-4
Node 251, a:6, b:10, c:-4
Node 252, a:6, b:-6, c:4
